inlet pressure [Pa],outlet pressure [Pa],inlet oil flowrate [m3/s],outlet oil flowrate [m3/s],inlet gas flowrate [m3/s],outlet gas flowrate [m3/s],inlet water flowrate [m3/s],outlet water flowrate [m3/s],inlet holdup [-],outlet holdup [-]
2506831.0,905369.7,0.08000903,0.07794775,0.09649227,0.3905147,0.03293811,0.03294451,0.5656387,0.2713564
4541218.0,1153125.0,0.1588233,0.1499552,0.04912338,0.5593753,0.06310752,0.06314931,0.8169608,0.3162188
2117366.0,870570.9,0.06686973,0.06554647,0.1065179,0.3439297,0.02771352,0.02771667,0.5228755,0.2649281
4870480.0,1198085.0,0.1719997,0.1616706,0.04215286,0.5744643,0.06798552,0.06803586,0.849104,0.3242332
2230068.0,880189.4,0.07066626,0.06914906,0.1037124,0.3581773,0.02923212,0.02923611,0.5353779,0.2667062
3253892.0,982271.6,0.1063149,0.102373,0.07801682,0.4651562,0.04320465,0.04322024,0.6537048,0.285479
3864750.0,1061476.0,0.1312826,0.1252167,0.06445195,0.5176307,0.05277682,0.05280336,0.7380608,0.2998458
3536718.0,1018364.0,0.1178618,0.1129902,0.07185241,0.4915142,0.04765786,0.04767818,0.6942816,0.292015
1356506.0,792044.8,0.03946482,0.03913591,0.1193672,0.22924,0.01656699,0.0165668,0.4277549,0.2916502
3030935.0,955927.0,0.09760901,0.09432522,0.08301349,0.4428679,0.03982539,0.03983774,0.6220407,0.2806582
3536157.0,1018295.0,0.1178396,0.1129698,0.07186413,0.4914706,0.04764933,0.04766963,0.6942072,0.292001
1793908.0,838470.7,0.05564755,0.05481912,0.1139395,0.3005767,0.02318971,0.02319095,0.4841116,0.2656475
1426945.0,798519.6,0.04220855,0.04181388,0.1193815,0.2426315,0.01769891,0.01769886,0.4366377,0.2864049
3305423.0,988743.4,0.1084171,0.1043096,0.07687503,0.4702059,0.04401733,0.04403373,0.6614112,0.2866599
1389918.0,795073.7,0.04077553,0.04041618,0.1194505,0.2356983,0.01710819,0.01710806,0.4319221,0.2890993
2918738.0,944696.7,0.09380142,0.09080482,0.08587313,0.4324315,0.03834619,0.0383571,0.6106175,0.2785968
2805025.0,933552.9,0.08997281,0.08725108,0.08877756,0.4214501,0.03685226,0.03686181,0.5987082,0.2765494
5339581.0,1262249.0,0.1906684,0.1780017,0.03179158,0.5916738,0.07477096,0.07483461,0.8919734,0.3355039
5276291.0,1253624.0,0.1881575,0.1758241,0.03321191,0.5896299,0.07386724,0.07392902,0.8863848,0.3339914
1592876.0,815212.1,0.04843244,0.04786012,0.1177305,0.271139,0.02025305,0.02025346,0.4581582,0.275791
